TaDiRAH Kategorie,machine label (from readme on github),label EN (from tadirah.dariah.eu/vocab),label EN (course registry),QID,tema number,related research activity (tema number),Mapping DH Zotero,Mapping Custom Zotero,used in *****,Not matched from Zotero
Research Activities,network_analysis,Network Analysis,Network Analysis,Q4417999,27,,act_NetworkAnalysis; t_NetworkAnalysis,act_NetworkAnalysis; t_NetworkAnalysis,X,
Research Activities,relational_analysis,Relational Analysis,Relational Analysis,,28,,act_RelationalAnalysis,act_RelationalAnalysis,X,
Research Activities,spatial_analysis,Spatial Analysis,Spatial Analysis,Q1938983,29,,,act_SpatialAnalysis,,
Research Activities,structural_analysis,Structural Analysis,Structural Analysis,,30,,act_StructuralAnalysis,act_StructuralAnalysis,X,
Research Activities,stylistic_analysis,Stylistic Analysis,Stylistic Analysis,Q11873636,31,,act_StylisticAnalysis; t_Stylometry,act_StylisticAnalysis; t_Stylometry,X,
Research Activities,visualization,Visualization,Visualization,Q451553,32,,act_Visualizing,act_Visualizing,X,
Research Activities,5 - interpretation,Interpretation,Interpretation,Q280221,33,,goal_Interpretation,goal_Interpretation,X,
Research Activities,contextualizing,Contextualizing,Contextualizing,,34,,,act_Contextualizing,X,
Research Activities,modeling,Modeling,Modeling,Q1116876,35,,act_Modeling,act_Modeling,X,
Research Activities,theorizing,Theorizing,Theorizing,,36,,act_Theorizing; meta_Theorizing; Meta: Theorizing,act_Theorizing; meta_Theorizing; Meta: Theorizing,X,
Research Activities,6 - storage,Storage,Storage,Q57515336,37,,goal_Storage,goal_Storage,X,
Research Activities,archiving,Archiving,Archiving,,38,,act_Archiving,act_Archiving,X,
Research Activities,identifying,Identifying,Identifying,Q3265221,39,,act_Identifying,act_Identifying,,
Research Activities,organizing,Organizing,Organizing,Q2920728,40,,act_Organizing,act_Organizing,X,
Research Activities,preservation,Preservation,Preservation,Q632897,41,,act_Preservation,act_Preservation,X,
Research Activities,7 - dissemination,Dissemination,Dissemination,Q840576,42,,goal_Dissemination,goal_Dissemination,X,
Research Activities,collaboration,Collaboration,Collaboration,Q1145523,43,,act_Collaborating; activity: Collaborate; goal_Collaboration; meta_Collaborating,act_Collaborating; activity: Collaborate; goal_Collaboration; meta_Collaborating,x,
Research Activities,commenting,Commenting,Commenting,Q58897583,44,,,act_Commenting,,
Research Activities,communicating,Communicating,Communicating,,45,,act_Communicating,act_Communicating,X,
Research Activities,crowdsourcing,Crowdsourcing,Crowdsourcing,Q275969,46,,act_Crowdsourcing,act_Crowdsourcing,,
Research Activities,publishing,Publishing,Publishing,Q3972943,47,,act_Publishing,act_Publishing,X,
Research Activities,sharing,Sharing,Sharing,Q5227350,48,,act_Sharing,act_Sharing,X,
Research Activities,meta_activities,Meta-Activities,Meta-Activities,,49,,,,,
